AdhanID,Info,AudioPath
1,Adhan(Madina) Fajr,F:\DATABASE TERM PROJECT 2-2\Adhan mp3\azan1.mp3
2,Adhan(Madina),F:\DATABASE TERM PROJECT 2-2\Adhan mp3\azan2.mp3
3,Adhan(Nasser Al Qatami),F:\DATABASE TERM PROJECT 2-2\Adhan mp3\azan3.mp3
4,Adhan(Abdul Baset),F:\DATABASE TERM PROJECT 2-2\Adhan mp3\azan4.mp3
5,Adhan(Makkah),F:\DATABASE TERM PROJECT 2-2\Adhan mp3\azan5.mp3
